it	d12_0.0	d12_0.0117	d12_2.588	d12_5.333	d12_11.62	d12_15.97	d12_23.03	d12_28.1	d12_33.9	d12_38.0	d12_41.3	d12_47.8	d12_56.0	d12_61.6	d12_66.0	d21_0.0	d21_0.0117	d21_2.588	d21_5.333	d21_11.62	d21_15.97	d21_23.03	d21_28.1	d21_33.9	d21_38.0	d21_41.3	d21_47.8	d21_56.0	d21_61.6	d21_66.0	e1_0.0	e1_0.0117	e1_2.588	e1_5.333	e1_11.62	e1_15.97	e1_23.03	e1_28.1	e1_33.9	e1_38.0	e1_41.3	e1_47.8	e1_56.0	e1_61.6	e1_66.0	e2_0.0	e2_0.0117	e2_2.588	e2_5.333	e2_11.62	e2_15.97	e2_23.03	e2_28.1	e2_33.9	e2_38.0	e2_41.3	e2_47.8	e2_56.0	e2_61.6	e2_66.0
1000	0.1048839055915767	0.1048839055915767	0.03809565202750066	0.03809565202750066	0.03809565202750066	0.03809565202750066	0.03809565202750066	0.03809565202750066	0.026590543607210495	0.026590543607210495	0.026590543607210495	0.008134800070046203	0.10920193686638618	0.10920193686638618	0.16568718825719847	1.1529888052660684	1.1529888052660684	0.05914897439254202	0.05914897439254202	0.05914897439254202	0.05914897439254202	0.05914897439254202	0.05914897439254202	0.06098909964164749	0.06098909964164749	0.06098909964164749	0.010624113411531301	0.05458003628926674	0.05458003628926674	0.7441317854147802	0.020300752281722557	0.020300752281722557	0.015959689398247094	0.015959689398247094	0.015959689398247094	0.015959689398247094	0.015959689398247094	0.015959689398247094	0.022363378544066444	0.022363378544066444	0.022363378544066444	0.02721116836414425	0.030003104432361774	0.030003104432361774	0.025179447560209647	0.7333676429736284	0.7333676429736284	0.022356476017577388	0.022356476017577388	0.022356476017577388	0.022356476017577388	0.022356476017577388	0.022356476017577388	0.01807622359605752	0.01807622359605752	0.01807622359605752	0.010077082806152495	0.008565870636877115	0.008565870636877115	0.009634788304270014
1100	0.10281964688184543	0.10281964688184543	0.046007400499467846	0.046007400499467846	0.046007400499467846	0.046007400499467846	0.046007400499467846	0.046007400499467846	0.026590543607210495	0.026590543607210495	0.026590543607210495	0.009695823600866507	0.08647847476901223	0.08647847476901223	0.1052245633330354	0.4349304470493977	0.4349304470493977	0.05989377325032021	0.05989377325032021	0.05989377325032021	0.05989377325032021	0.05989377325032021	0.05989377325032021	0.06471439264658498	0.06471439264658498	0.06471439264658498	0.013276000995533107	0.05458003628926674	0.05458003628926674	0.4710559640025023	0.056920763656498556	0.056920763656498556	0.015959689398247094	0.015959689398247094	0.015959689398247094	0.015959689398247094	0.015959689398247094	0.015959689398247094	0.013757418128353825	0.013757418128353825	0.013757418128353825	0.03192848126623752	0.024810205670571683	0.024810205670571683	0.009027881138208155	0.43584430184966333	0.43584430184966333	0.024344411134329693	0.024344411134329693	0.024344411134329693	0.024344411134329693	0.024344411134329693	0.024344411134329693	0.01457681145858989	0.01457681145858989	0.01457681145858989	0.00984780448450274	0.008565870636877115	0.008565870636877115	0.006529713266150449
1200	0.06481688789764718	0.06481688789764718	0.05330811310084416	0.05330811310084416	0.05330811310084416	0.05330811310084416	0.05330811310084416	0.05330811310084416	0.06838305729057097	0.06838305729057097	0.06838305729057097	0.024411105506424412	0.08307627654605643	0.08307627654605643	0.07577812527878441	0.4528327314820116	0.4528327314820116	0.08210520508400505	0.08210520508400505	0.08210520508400505	0.08210520508400505	0.08210520508400505	0.08210520508400505	0.04475078320193337	0.04475078320193337	0.04475078320193337	0.037769744854201696	0.04226508390348389	0.04226508390348389	0.33881770350209384	0.022278106747850267	0.022278106747850267	0.0214783352121848	0.0214783352121848	0.0214783352121848	0.0214783352121848	0.0214783352121848	0.0214783352121848	0.01636841753536381	0.01636841753536381	0.01636841753536381	0.03192848126623752	0.018792744122162423	0.018792744122162423	0.007840622679584347	0.5461585157749628	0.5461585157749628	0.0262470461896987	0.0262470461896987	0.0262470461896987	0.0262470461896987	0.0262470461896987	0.0262470461896987	0.02040816274264549	0.02040816274264549	0.02040816274264549	0.007924546676032422	0.006295173534810868	0.006295173534810868	0.006529713266150449
1300	0.04939108636848004	0.04939108636848004	0.040888688503313175	0.040888688503313175	0.040888688503313175	0.040888688503313175	0.040888688503313175	0.040888688503313175	0.059096237032863104	0.059096237032863104	0.059096237032863104	0.013458075152110909	0.04332353905893455	0.04332353905893455	0.37510397551465535	0.4528327314820116	0.4528327314820116	0.07592458956454427	0.07592458956454427	0.07592458956454427	0.07592458956454427	0.07592458956454427	0.07592458956454427	0.04475078320193337	0.04475078320193337	0.04475078320193337	0.027081854127495582	0.054125546503768523	0.054125546503768523	0.23325654277205984	0.013079140038861153	0.013079140038861153	0.017395594714175643	0.017395594714175643	0.017395594714175643	0.017395594714175643	0.017395594714175643	0.017395594714175643	0.0192316059300041	0.0192316059300041	0.0192316059300041	0.03192848126623752	0.021520957643611324	0.021520957643611324	0.005834941686971317	0.425847185928619	0.425847185928619	0.0262470461896987	0.0262470461896987	0.0262470461896987	0.0262470461896987	0.0262470461896987	0.0262470461896987	0.0240836026816144	0.0240836026816144	0.0240836026816144	0.009758863697598704	0.006295173534810868	0.006295173534810868	0.012003472318892839
1400	0.01524337841554223	0.01524337841554223	0.04136882672110838	0.04136882672110838	0.04136882672110838	0.04136882672110838	0.04136882672110838	0.04136882672110838	0.03551375483732531	0.03551375483732531	0.03551375483732531	0.018257148958265232	0.052722352509704765	0.052722352509704765	0.5311810319280945	0.36828627222190863	0.36828627222190863	0.07592458956454427	0.07592458956454427	0.07592458956454427	0.07592458956454427	0.07592458956454427	0.07592458956454427	0.038908596428695784	0.038908596428695784	0.038908596428695784	0.027337885096274925	0.058130893515708895	0.058130893515708895	0.2733468457469673	0.013079140038861153	0.013079140038861153	0.01737410675245299	0.01737410675245299	0.01737410675245299	0.01737410675245299	0.01737410675245299	0.01737410675245299	0.0192316059300041	0.0192316059300041	0.0192316059300041	0.029348362426372235	0.02239015662526363	0.02239015662526363	0.004182042197185033	0.4108902218178112	0.4108902218178112	0.02157542205387882	0.02157542205387882	0.02157542205387882	0.02157542205387882	0.02157542205387882	0.02157542205387882	0.020478422900960955	0.020478422900960955	0.020478422900960955	0.014261786101118255	0.004656049508984472	0.004656049508984472	0.006046604196469523
1500	0.02350569939573718	0.02350569939573718	0.05472875781175607	0.05472875781175607	0.05472875781175607	0.05472875781175607	0.05472875781175607	0.05472875781175607	0.03551375483732531	0.03551375483732531	0.03551375483732531	0.00775624692339167	0.0720925775906597	0.0720925775906597	0.40117899104301147	0.26325590296552537	0.26325590296552537	0.0676980560733296	0.0676980560733296	0.0676980560733296	0.0676980560733296	0.0676980560733296	0.0676980560733296	0.051622896887165974	0.051622896887165974	0.051622896887165974	0.015658700651209816	0.06603758195883205	0.06603758195883205	0.2713610891755049	0.005492756244300601	0.005492756244300601	0.015582931664814458	0.015582931664814458	0.015582931664814458	0.015582931664814458	0.015582931664814458	0.015582931664814458	0.022302297522139827	0.022302297522139827	0.022302297522139827	0.01787506483543912	0.022202545539741783	0.022202545539741783	0.011725381531227456	0.4108902218178112	0.4108902218178112	0.029405125592298933	0.029405125592298933	0.029405125592298933	0.029405125592298933	0.029405125592298933	0.029405125592298933	0.010440857147835688	0.010440857147835688	0.010440857147835688	0.00996548968024545	0.004805044163461053	0.004805044163461053	0.004968392204261068
1600	0.02380223268772021	0.02380223268772021	0.04223349562018778	0.04223349562018778	0.04223349562018778	0.04223349562018778	0.04223349562018778	0.04223349562018778	0.05069278134383508	0.05069278134383508	0.05069278134383508	0.011395432864082075	0.05778781115954777	0.05778781115954777	0.29216862421060263	0.5403989048106072	0.5403989048106072	0.05639941628475859	0.05639941628475859	0.05639941628475859	0.05639941628475859	0.05639941628475859	0.05639941628475859	0.04890059896960468	0.04890059896960468	0.04890059896960468	0.021781935978685194	0.05096528244137334	0.05096528244137334	0.4952783031199681	0.005110225892613943	0.005110225892613943	0.01562934927405645	0.01562934927405645	0.01562934927405645	0.01562934927405645	0.01562934927405645	0.01562934927405645	0.023248081066913676	0.023248081066913676	0.023248081066913676	0.026343194345622406	0.022115376531706588	0.022115376531706588	0.012056196222380728	0.5391670253587008	0.5391670253587008	0.022088009545224867	0.022088009545224867	0.022088009545224867	0.022088009545224867	0.022088009545224867	0.022088009545224867	0.013816681663351477	0.013816681663351477	0.013816681663351477	0.013620971547498702	0.009430621531433097	0.009430621531433097	0.004658742326105222
1700	0.028433819794649037	0.028433819794649037	0.042560917358149555	0.042560917358149555	0.042560917358149555	0.042560917358149555	0.042560917358149555	0.042560917358149555	0.048794100275252585	0.048794100275252585	0.048794100275252585	0.002825662011217392	0.08836385264893754	0.08836385264893754	0.2204122258133528	0.6536900690727888	0.6536900690727888	0.08800698292735835	0.08800698292735835	0.08800698292735835	0.08800698292735835	0.08800698292735835	0.08800698292735835	0.06253472756926584	0.06253472756926584	0.06253472756926584	0.013802100768211574	0.03594745095790989	0.03594745095790989	3.0979382281977377	0.0028793695093958386	0.0028793695093958386	0.016629092419391228	0.016629092419391228	0.016629092419391228	0.016629092419391228	0.016629092419391228	0.016629092419391228	0.01948637055421505	0.01948637055421505	0.01948637055421505	0.031063935972130894	0.03088441368551403	0.03088441368551403	0.011677624898789542	0.5168006692954903	0.5168006692954903	0.017806484216903708	0.017806484216903708	0.017806484216903708	0.017806484216903708	0.017806484216903708	0.017806484216903708	0.013816681663351477	0.013816681663351477	0.013816681663351477	0.012928687053238267	0.007892701848762129	0.007892701848762129	0.006289864389277896
1800	0.09053893050483057	0.09053893050483057	0.04870186890461478	0.04870186890461478	0.04870186890461478	0.04870186890461478	0.04870186890461478	0.04870186890461478	0.048794100275252585	0.048794100275252585	0.048794100275252585	0.013002265355760921	0.06209267286299505	0.06209267286299505	0.4102734145118185	0.9299344935301604	0.9299344935301604	0.08800698292735835	0.08800698292735835	0.08800698292735835	0.08800698292735835	0.08800698292735835	0.08800698292735835	0.04610868234369192	0.04610868234369192	0.04610868234369192	0.030931132198434748	0.03397378082358055	0.03397378082358055	1.5248402596409703	0.004937415624284669	0.004937415624284669	0.016629092419391228	0.016629092419391228	0.016629092419391228	0.016629092419391228	0.016629092419391228	0.016629092419391228	0.02453130491477087	0.02453130491477087	0.02453130491477087	0.026696475531525064	0.025366710544452612	0.025366710544452612	0.0273003269255769	0.5739149497059854	0.5739149497059854	0.02268980295368155	0.02268980295368155	0.02268980295368155	0.02268980295368155	0.02268980295368155	0.02268980295368155	0.01793122274967695	0.01793122274967695	0.01793122274967695	0.012928687053238267	0.008156809763971883	0.008156809763971883	0.011481059473790132
1900	0.07246774556351583	0.07246774556351583	0.040535978734323116	0.040535978734323116	0.040535978734323116	0.040535978734323116	0.040535978734323116	0.040535978734323116	0.04144401528638498	0.04144401528638498	0.04144401528638498	0.015576404031102798	0.07795894416752817	0.07795894416752817	1.0695460634436915	1.2170844272879058	1.2170844272879058	0.06951151268391627	0.06951151268391627	0.06951151268391627	0.06951151268391627	0.06951151268391627	0.06951151268391627	0.04610868234369192	0.04610868234369192	0.04610868234369192	0.017005336707497785	0.05658104390335562	0.05658104390335562	1.077092315800604	0.0076197522889976665	0.0076197522889976665	0.016629092419391228	0.016629092419391228	0.016629092419391228	0.016629092419391228	0.016629092419391228	0.016629092419391228	0.020139298778609965	0.020139298778609965	0.020139298778609965	0.026696475531525064	0.025366710544452612	0.025366710544452612	0.014598185859425258	0.5213283189840905	0.5213283189840905	0.025083638643288265	0.025083638643288265	0.025083638643288265	0.025083638643288265	0.025083638643288265	0.025083638643288265	0.020676685919333162	0.020676685919333162	0.020676685919333162	0.0130200586998784	0.008156809763971883	0.008156809763971883	0.02382518222299248
