it	posterior	prior	likelihood	d12_t66.0	d21_t66.0	d12_t56.0	d21_t56.0	d12_t47.8	d21_t47.8	d12_t33.9	d21_t33.9	d12_t2.588	d21_t2.588	d12_t0.0	d21_t0.0	d12_t0.0	d21_t0.0	e1_t66.0	e2_t66.0	e1_t56.0	e2_t56.0	e1_t47.8	e2_t47.8	e1_t33.9	e2_t33.9	e1_t2.588	e2_t2.588	e1_t0.0	e2_t0.0	e1_t0.0	e2_t0.0	q1_t66.0	q2_t66.0	q1_t56.0	q2_t56.0	q1_t47.8	q2_t47.8	q1_t33.9	q2_t33.9	q1_t2.588	q2_t2.588	q1_t0.0	q2_t0.0	q1_t0.0	q2_t0.0	cov_d12	cov_d21	cov_e1	cov_e2	hp_rate	beta
0	-2757.6455764590464	-5.622928551389313	-2752.0226479076573	0.12062632445513162	0.11613461343815697	0.05432901608739075	0.08614875846417379	0.12737279834022935	0.05785229148341036	0.13843841167758714	0.14308682962545582	0.135308551238989	0.0617377604100948	0.10651734817019118	0.12075599478322231	0.13879800899401756	0.059577602929981294	0.03369149543063655	0.03879182837495679	0.041080765974416705	0.02178659395995478	0.034295061557954996	0.021498914968093218	0.049932670011378785	0.04258022431769403	0.0265591166507747	0.045165687426569436	0.03930004460433815	0.047149877229110244	0.01686442776987697	0.021793400196834962	0.22726137067539212	0.22726137067539212	0.22726137067539212	0.22726137067539212	0.22726137067539212	0.22726137067539212	0.22726137067539212	0.22726137067539212	0.22726137067539212	0.22726137067539212	0.22726137067539212	0.22726137067539212	0.22726137067539212	0.22726137067539212	0.0	0.0	0.0	0.0	1.0	1.0
100	-2669.5207613142616	-5.839802892491051	-2663.6809584217704	0.3620999878875342	0.10785116599844709	0.0783780030786448	0.03959547215027539	0.07130508799390706	0.044530592664332895	0.08947119978392507	0.131693487635611	0.135308551238989	0.07109327476656183	0.09169942615260492	0.1456891484890552	0.3442190719760129	0.07020841401602008	0.03635543039183199	0.031935964037037794	0.01876603391563469	0.02262679619610815	0.034295061557954996	0.021498914968093218	0.036856077634700606	0.020196845696524506	0.01594707614859405	0.025588997177229143	0.01849084988724946	0.06785591017551285	0.01700436787676579	0.0134875501772015	0.22726137067539212	0.4026980104144401	0.22726137067539212	0.2873655673651101	0.22726137067539212	0.22726137067539212	0.23958758301161912	0.22726137067539212	0.2894417092097471	0.22726137067539212	0.34976632367682564	0.2723156764855403	0.36978049395471657	0.3583383682402963	0.0	0.0	0.0	0.0	1.0	1.0
200	-2633.512009923502	-6.782169241983421	-2626.7298406815185	0.7799003958996277	0.24720878972447718	0.0829163709241632	0.01651852249996871	0.07130508799390706	0.023573701787293507	0.04362450244119584	0.16654874621435725	0.09607679056475626	0.05842072999254973	0.033904483344360734	0.24516131799928012	0.7644384315841157	0.0705881394290157	0.022007323825711862	0.03514021047017888	0.02276486348736466	0.013776609669450816	0.020989697392728764	0.011051893927420795	0.02945365265101714	0.015166205401089868	0.010652730394447262	0.027464910606407482	0.03666277752179456	0.10998923079518305	0.032194968783109325	0.018914023839757304	0.22726137067539212	0.4026980104144401	0.22726137067539212	0.2873655673651101	0.3499000518677762	0.27250624599778556	0.23958758301161912	0.22726137067539212	0.2894417092097471	0.22726137067539212	0.34976632367682564	0.2723156764855403	0.36978049395471657	0.3583383682402963	0.0	0.0	0.0	0.0	1.0	1.0
300	-2589.218938012585	-9.172836013721888	-2580.0461019988634	0.5539707556883081	1.794514058085587	0.05747967971403077	0.0386628024283018	0.07130508799390706	0.016807862462410516	0.03040442834810842	0.0648523602578183	0.044217401180084395	0.09631842748661877	0.03919857800430302	0.4973308997347155	1.6762566926494447	0.02685337067911392	0.02703387994416874	0.02024852884880674	0.02145763505048353	0.009505656003664431	0.017215444253217183	0.011051893927420795	0.02945365265101714	0.02014022554568465	0.020040157311774182	0.027464910606407482	0.06026547468226821	0.17863530239650457	0.023607921686006374	0.022788793283021344	0.22807603452964978	0.4026980104144401	0.22726137067539212	0.2873655673651101	0.3499000518677762	0.2814665132180813	0.23958758301161912	0.22726137067539212	0.2894417092097471	0.22726137067539212	0.34976632367682564	0.2723156764855403	0.10092933467223579	0.3583383682402963	0.0	0.0	0.0	0.0	1.0	1.0
400	-2557.3595408949604	-7.422073640817963	-2549.9374672541426	0.16616182200408006	0.8297905789723927	0.12225352658390987	0.03179133538711681	0.003961935603619404	0.022919634134210266	0.04376663753602334	0.030426609906623478	0.044217401180084395	0.07977756123314045	0.0675068929114385	0.8150050870629589	0.7519879375043362	0.005679375510803574	0.02152371763075691	0.006149868823483223	0.01640822251285289	0.009258293690519379	0.017215444253217183	0.01031973969514224	0.02945365265101714	0.012102094713717721	0.01793382845349708	0.02231512493609853	0.06026547468226821	0.4712142382860988	0.015118756243226008	0.0217947158966393	0.22807603452964978	0.4026980104144401	0.30775911547816825	0.2873655673651101	0.3499000518677762	0.2814665132180813	0.23958758301161912	0.22726137067539212	0.2894417092097471	0.22726137067539212	0.34976632367682564	0.2723156764855403	0.10092933467223579	0.3583383682402963	0.0	0.0	0.0	0.0	1.0	1.0
500	-2548.7029198903047	-9.076287312954639	-2539.62663257735	0.4650333275414726	1.2481958769482093	0.08702980119593125	0.05120466102744064	0.0035271667773159447	0.015120369332782735	0.058438355027952284	0.024619442531666147	0.044217401180084395	0.08025731732996164	0.07416792921309176	1.0810792720264764	1.4326218180285295	0.011184302847505068	0.026352377513057423	0.003164806145132121	0.027597947028963628	0.009258293690519379	0.018086664656808922	0.015637483911252782	0.02105876863263754	0.012102094713717721	0.01793382845349708	0.023252434851458476	0.022487515048373617	0.47096360942875726	0.03989257451787923	0.016047740535472397	0.29831223128028356	0.4026980104144401	0.3606176905362056	0.2873655673651101	0.3499000518677762	0.2814665132180813	0.23958758301161912	0.22726137067539212	0.2894417092097471	0.22726137067539212	0.34976632367682564	0.2723156764855403	0.09519440155581786	0.3654523892434679	0.0	0.0	0.0	0.0	1.0	1.0
600	-2554.0443804755573	-9.13596261379856	-2544.9084178617586	0.5714329328023652	1.1664999258817077	0.09275983436502334	0.09214570107609267	0.0025259591678593015	0.018703214410942404	0.07052151621276781	0.024619442531666147	0.05656971531474352	0.06445609063482176	0.1352914486005296	1.0523449286602613	1.3553375176588276	0.028512129730353844	0.01957890881383681	0.0061936879879750115	0.027241070437660473	0.00909812506507643	0.027557013799901883	0.011303779602871608	0.02105876863263754	0.017584527938042844	0.01793382845349708	0.023252434851458476	0.022487515048373617	0.48358014046590136	0.013399669353133314	0.028218653481540852	0.29831223128028356	0.4026980104144401	0.6375706768500374	0.2873655673651101	0.3499000518677762	0.2814665132180813	0.23958758301161912	0.22726137067539212	0.2894417092097471	0.22726137067539212	0.5840933844113666	0.2723156764855403	0.09519440155581786	0.3654523892434679	0.0	0.0	0.0	0.0	1.0	1.0
700	-2542.4325661024654	-7.613442375862949	-2534.8191237266024	0.19255872717725803	0.5425884915361131	0.09275983436502334	0.09214570107609267	0.0033814614078720847	0.012836184088006233	0.044484957265498254	0.032375062833999886	0.04410850316204773	0.05492545809797321	0.06127602773469524	1.1568409298368554	0.5012467709836789	0.03498939889468063	0.013936882183387242	0.0031713381404227356	0.03825535511049412	0.010989891324236157	0.01802628553567411	0.017719942430373312	0.01664944158702225	0.01807622359605752	0.01630786511909056	0.01951336415531761	0.025953951129519266	0.7440109687089795	0.022077968207441616	0.1064812573564475	0.29831223128028356	0.4026980104144401	0.6375706768500374	0.34598206196575754	0.3499000518677762	0.2814665132180813	0.23958758301161912	0.22726137067539212	0.2894417092097471	0.2594121070948616	0.5840933844113666	0.3466659991659184	0.09519440155581786	0.3654523892434679	0.0	0.0	0.0	0.0	1.0	1.0
800	-2538.39964634412	-7.599749429898426	-2530.7998969142213	0.17508353943583813	0.5041946306659383	0.09275983436502334	0.09214570107609267	0.004451019574348915	0.020105355891400997	0.06249543692093031	0.032375062833999886	0.044547422545023634	0.06780010407657167	0.047651577220658936	1.4581200742052143	0.5012467709836789	0.03427634379998559	0.013936882183387242	0.004048732374385994	0.03825535511049412	0.00808001029953968	0.01853371593923796	0.012451780311442626	0.026715266205811668	0.01807622359605752	0.01630786511909056	0.01986019416441021	0.021159430325617505	0.4792023499340088	0.037804855044622714	0.07230976287692378	0.26359650284693875	0.6073550417213399	0.6375706768500374	0.34598206196575754	0.3499000518677762	0.2814665132180813	0.23958758301161912	0.22726137067539212	0.2894417092097471	0.2594121070948616	0.2012732889677989	0.24399245701921735	0.04019178899850698	0.31449580807722255	0.0	0.0	0.0	0.0	1.0	1.0
900	-2541.455693893597	-8.835174775532895	-2532.6205191180643	0.16568718825719847	1.230944397490331	0.10920193686638618	0.05458003628926674	0.0025295180433302284	0.016948485800148818	0.03977655445013283	0.03716227345182808	0.03898277056913239	0.06780010407657167	0.1439314751092056	1.2026237740076002	0.8112056590953075	0.055937900539433094	0.02023716921430174	0.008438857093842607	0.028487248362057033	0.005906072400250656	0.028820959291482786	0.01700428757178251	0.019585665159801473	0.01807622359605752	0.017569859320012815	0.02202351184946518	0.03462167301787283	0.7333676429736284	0.10825894204186788	0.11971045677590951	0.26359650284693875	0.29971652722109987	0.6375706768500374	0.34598206196575754	0.3499000518677762	0.2814665132180813	0.23958758301161912	0.22726137067539212	0.2894417092097471	0.29436177668120034	0.37483533453940016	0.24399245701921735	0.04019178899850698	0.09517580451032458	0.0	0.0	0.0	0.0	1.0	1.0
