it	d12_2.5	d12_7.5	d12_12.5	d12_17.5	d12_22.5	d12_27.5	d12_32.5	d12_37.5	d12_42.5	d12_47.5	d12_52.5	d12_57.5	d12_62.5	d12_67.5	d21_2.5	d21_7.5	d21_12.5	d21_17.5	d21_22.5	d21_27.5	d21_32.5	d21_37.5	d21_42.5	d21_47.5	d21_52.5	d21_57.5	d21_62.5	d21_67.5	e1_2.5	e1_7.5	e1_12.5	e1_17.5	e1_22.5	e1_27.5	e1_32.5	e1_37.5	e1_42.5	e1_47.5	e1_52.5	e1_57.5	e1_62.5	e1_67.5	e2_2.5	e2_7.5	e2_12.5	e2_17.5	e2_22.5	e2_27.5	e2_32.5	e2_37.5	e2_42.5	e2_47.5	e2_52.5	e2_57.5	e2_62.5	e2_67.5
1000	0.05449268760369058	0.05449268760369058	0.05449268760369058	0.05449268760369058	0.05449268760369058	0.05449268760369058	0.0454655645115336	0.0454655645115336	0.0454655645115336	0.04354772232562684	0.04354772232562684	0.02439595538045858	0.02439595538045858	0.07438479042125834	0.07491931852958902	0.07491931852958902	0.07491931852958902	0.07491931852958902	0.07491931852958902	0.07491931852958902	0.012632344124319352	0.012632344124319352	0.012632344124319352	0.04096955120417877	0.04096955120417877	0.11775922217664733	0.11775922217664733	0.047670678547300414	0.003566930044407128	0.003566930044407128	0.003566930044407128	0.003566930044407128	0.003566930044407128	0.003566930044407128	0.013998041054072494	0.013998041054072494	0.013998041054072494	0.012321723575284545	0.012321723575284545	0.02258377310268832	0.02258377310268832	0.036859898766988294	0.09566946006157317	0.09566946006157317	0.09566946006157317	0.09566946006157317	0.09566946006157317	0.09566946006157317	0.052193669629676004	0.052193669629676004	0.052193669629676004	0.010516175272783597	0.010516175272783597	0.023994799195796498	0.023994799195796498	0.016046710318980743
1100	0.0658097911295905	0.0658097911295905	0.0658097911295905	0.0658097911295905	0.0658097911295905	0.0658097911295905	0.035959832204622656	0.035959832204622656	0.035959832204622656	0.04974330821936501	0.04974330821936501	0.019609254639978122	0.019609254639978122	0.04724026747648188	0.07586269622023237	0.07586269622023237	0.07586269622023237	0.07586269622023237	0.07586269622023237	0.07586269622023237	0.04649812989061267	0.04649812989061267	0.04649812989061267	0.05119597104289811	0.05119597104289811	0.11775922217664733	0.11775922217664733	0.05604928360275784	0.0032168167605034475	0.0032168167605034475	0.0032168167605034475	0.0032168167605034475	0.0032168167605034475	0.0032168167605034475	0.011598693057390133	0.011598693057390133	0.011598693057390133	0.012185012664246616	0.012185012664246616	0.019668732071768363	0.019668732071768363	0.03544377984444269	0.0971158461965764	0.0971158461965764	0.0971158461965764	0.0971158461965764	0.0971158461965764	0.0971158461965764	0.042089393145681865	0.042089393145681865	0.042089393145681865	0.00838484068099241	0.00838484068099241	0.023994799195796498	0.023994799195796498	0.008645684653291599
1200	0.07625285824874455	0.07625285824874455	0.07625285824874455	0.07625285824874455	0.07625285824874455	0.07625285824874455	0.060146319301797035	0.060146319301797035	0.060146319301797035	0.030333692370881068	0.030333692370881068	0.03936951545607638	0.03936951545607638	0.10114314488102885	0.04338021166755919	0.04338021166755919	0.04338021166755919	0.04338021166755919	0.04338021166755919	0.04338021166755919	0.06366456130632178	0.06366456130632178	0.06366456130632178	0.08071397729718806	0.08071397729718806	0.12243865103758571	0.12243865103758571	0.06937691641309766	0.003105785018192666	0.003105785018192666	0.003105785018192666	0.003105785018192666	0.003105785018192666	0.003105785018192666	0.005859321596674631	0.005859321596674631	0.005859321596674631	0.019497833447161862	0.019497833447161862	0.023455664662010607	0.023455664662010607	0.03284737925169301	0.1124863439709802	0.1124863439709802	0.1124863439709802	0.1124863439709802	0.1124863439709802	0.1124863439709802	0.05892695995255444	0.05892695995255444	0.05892695995255444	0.018249190751310738	0.018249190751310738	0.017634100638898798	0.017634100638898798	0.008645684653291599
1300	0.058487895876600395	0.058487895876600395	0.058487895876600395	0.058487895876600395	0.058487895876600395	0.058487895876600395	0.05353185768242375	0.05353185768242375	0.05353185768242375	0.030415454624147936	0.030415454624147936	0.03782065724735957	0.03782065724735957	0.17672447446901876	0.09060734542232174	0.09060734542232174	0.09060734542232174	0.09060734542232174	0.09060734542232174	0.09060734542232174	0.04311158867012137	0.04311158867012137	0.04311158867012137	0.07715594433999798	0.07715594433999798	0.11673240919899151	0.11673240919899151	0.04776202513457308	0.006534159910861017	0.006534159910861017	0.006534159910861017	0.006534159910861017	0.006534159910861017	0.006534159910861017	0.007331342362577417	0.007331342362577417	0.007331342362577417	0.024677943695636403	0.024677943695636403	0.021497349315470204	0.021497349315470204	0.037338499966809026	0.1124863439709802	0.1124863439709802	0.1124863439709802	0.1124863439709802	0.1124863439709802	0.1124863439709802	0.05892695995255444	0.05892695995255444	0.05892695995255444	0.010217915784223972	0.010217915784223972	0.01634105972530456	0.01634105972530456	0.008645684653291599
1400	0.0711768038612805	0.0711768038612805	0.0711768038612805	0.0711768038612805	0.0711768038612805	0.0711768038612805	0.04449404783447775	0.04449404783447775	0.04449404783447775	0.03604427321480998	0.03604427321480998	0.0350107228813158	0.0350107228813158	0.12542747981530109	0.14479384846168852	0.14479384846168852	0.14479384846168852	0.14479384846168852	0.14479384846168852	0.14479384846168852	0.023462678882880585	0.023462678882880585	0.023462678882880585	0.08474071196547814	0.08474071196547814	0.11673240919899151	0.11673240919899151	0.05597098697368999	0.005552039743675882	0.005552039743675882	0.005552039743675882	0.005552039743675882	0.005552039743675882	0.005552039743675882	0.007331342362577417	0.007331342362577417	0.007331342362577417	0.024521893907115334	0.024521893907115334	0.0275189665096382	0.0275189665096382	0.030098397111202574	0.1000298476189293	0.1000298476189293	0.1000298476189293	0.1000298476189293	0.1000298476189293	0.1000298476189293	0.041703590726357015	0.041703590726357015	0.041703590726357015	0.00946216756282591	0.00946216756282591	0.01634105972530456	0.01634105972530456	0.005334239543402981
1500	0.0711768038612805	0.0711768038612805	0.0711768038612805	0.0711768038612805	0.0711768038612805	0.0711768038612805	0.04449404783447775	0.04449404783447775	0.04449404783447775	0.024209949517837417	0.024209949517837417	0.020247494787761017	0.020247494787761017	0.1185679294940541	0.12910523624101486	0.12910523624101486	0.12910523624101486	0.12910523624101486	0.12910523624101486	0.12910523624101486	0.06838387564623398	0.06838387564623398	0.06838387564623398	0.09148609567306501	0.09148609567306501	0.09296752541431016	0.09296752541431016	0.07251407155747833	0.005552039743675882	0.005552039743675882	0.005552039743675882	0.005552039743675882	0.005552039743675882	0.005552039743675882	0.008501930582498901	0.008501930582498901	0.008501930582498901	0.024521893907115334	0.024521893907115334	0.027288380218272682	0.027288380218272682	0.031821903401917026	0.1000298476189293	0.1000298476189293	0.1000298476189293	0.1000298476189293	0.1000298476189293	0.1000298476189293	0.03609155907137442	0.03609155907137442	0.03609155907137442	0.011701975089416736	0.011701975089416736	0.01634105972530456	0.01634105972530456	0.007490871411240848
1600	0.0711768038612805	0.0711768038612805	0.0711768038612805	0.0711768038612805	0.0711768038612805	0.0711768038612805	0.03587468241338599	0.03587468241338599	0.03587468241338599	0.020337792744073994	0.020337792744073994	0.04218395864553954	0.04218395864553954	0.12448684599586907	0.12503895869555207	0.12503895869555207	0.12503895869555207	0.12503895869555207	0.12503895869555207	0.12503895869555207	0.06838387564623398	0.06838387564623398	0.06838387564623398	0.10105339466509439	0.10105339466509439	0.14242306152407347	0.14242306152407347	0.05229044709973377	0.004979654905931795	0.004979654905931795	0.004979654905931795	0.004979654905931795	0.004979654905931795	0.004979654905931795	0.009919051367558523	0.009919051367558523	0.009919051367558523	0.019124780650231175	0.019124780650231175	0.027288380218272682	0.027288380218272682	0.03502468045742438	0.11195053978655894	0.11195053978655894	0.11195053978655894	0.11195053978655894	0.11195053978655894	0.11195053978655894	0.0325092179116916	0.0325092179116916	0.0325092179116916	0.017224390151431294	0.017224390151431294	0.024319005215156564	0.024319005215156564	0.007024010639302893
1700	0.071728613094227	0.071728613094227	0.071728613094227	0.071728613094227	0.071728613094227	0.071728613094227	0.05287799086742285	0.05287799086742285	0.05287799086742285	0.02855031123336699	0.02855031123336699	0.05084619525203726	0.05084619525203726	0.11577681869450028	0.17060900180967398	0.17060900180967398	0.17060900180967398	0.17060900180967398	0.17060900180967398	0.17060900180967398	0.04710567448279552	0.04710567448279552	0.04710567448279552	0.1265154920372264	0.1265154920372264	0.14645858200582768	0.14645858200582768	0.11147617851350083	0.007141187274903492	0.007141187274903492	0.007141187274903492	0.007141187274903492	0.007141187274903492	0.007141187274903492	0.013965033582152555	0.013965033582152555	0.013965033582152555	0.025707260714773934	0.025707260714773934	0.02179901464175826	0.02179901464175826	0.05407209794578888	0.0840929784039486	0.0840929784039486	0.0840929784039486	0.0840929784039486	0.0840929784039486	0.0840929784039486	0.0325092179116916	0.0325092179116916	0.0325092179116916	0.010148164383750796	0.010148164383750796	0.020353129089314012	0.020353129089314012	0.009483262068927417
1800	0.0820780596016918	0.0820780596016918	0.0820780596016918	0.0820780596016918	0.0820780596016918	0.0820780596016918	0.05547951984965974	0.05547951984965974	0.05547951984965974	0.0517638754590027	0.0517638754590027	0.057968355242502705	0.057968355242502705	0.16568846340542423	0.3108504166251089	0.3108504166251089	0.3108504166251089	0.3108504166251089	0.3108504166251089	0.3108504166251089	0.03254122235737588	0.03254122235737588	0.03254122235737588	0.09389287034542455	0.09389287034542455	0.07327115458980045	0.07327115458980045	0.15386156507706514	0.00889992117331987	0.00889992117331987	0.00889992117331987	0.00889992117331987	0.00889992117331987	0.00889992117331987	0.012811122000800295	0.012811122000800295	0.012811122000800295	0.018567051288651187	0.018567051288651187	0.017904477650198352	0.017904477650198352	0.07003923534115698	0.14054937507830748	0.14054937507830748	0.14054937507830748	0.14054937507830748	0.14054937507830748	0.14054937507830748	0.05832722882593665	0.05832722882593665	0.05832722882593665	0.017068986532558224	0.017068986532558224	0.028798213007380183	0.028798213007380183	0.012206046243678834
1900	0.0820780596016918	0.0820780596016918	0.0820780596016918	0.0820780596016918	0.0820780596016918	0.0820780596016918	0.04712237864332042	0.04712237864332042	0.04712237864332042	0.02830213482767937	0.02830213482767937	0.033835508983093975	0.033835508983093975	0.22978966633400588	0.5227201845405369	0.5227201845405369	0.5227201845405369	0.5227201845405369	0.5227201845405369	0.5227201845405369	0.02978608218486885	0.02978608218486885	0.02978608218486885	0.07345770841209111	0.07345770841209111	0.1072029298363218	0.1072029298363218	0.09710542975196834	0.006569341525405108	0.006569341525405108	0.006569341525405108	0.006569341525405108	0.006569341525405108	0.006569341525405108	0.007680842014290956	0.007680842014290956	0.007680842014290956	0.018567051288651187	0.018567051288651187	0.019697754415286896	0.019697754415286896	0.030989236946471422	0.12651161623206844	0.12651161623206844	0.12651161623206844	0.12651161623206844	0.12651161623206844	0.12651161623206844	0.03479133549061742	0.03479133549061742	0.03479133549061742	0.009986646635067518	0.009986646635067518	0.028798213007380183	0.028798213007380183	0.019232192514174323
