it	d12_0.0	d12_0.0117	d12_2.588	d12_5.333	d12_11.62	d12_15.97	d12_23.03	d12_28.1	d12_33.9	d12_38.0	d12_41.3	d12_47.8	d12_56.0	d12_61.6	d12_66.0	d21_0.0	d21_0.0117	d21_2.588	d21_5.333	d21_11.62	d21_15.97	d21_23.03	d21_28.1	d21_33.9	d21_38.0	d21_41.3	d21_47.8	d21_56.0	d21_61.6	d21_66.0	e1_0.0	e1_0.0117	e1_2.588	e1_5.333	e1_11.62	e1_15.97	e1_23.03	e1_28.1	e1_33.9	e1_38.0	e1_41.3	e1_47.8	e1_56.0	e1_61.6	e1_66.0	e2_0.0	e2_0.0117	e2_2.588	e2_5.333	e2_11.62	e2_15.97	e2_23.03	e2_28.1	e2_33.9	e2_38.0	e2_41.3	e2_47.8	e2_56.0	e2_61.6	e2_66.0
0	0.0710295071752601	0.0710295071752601	0.05062102671905161	0.05062102671905161	0.05062102671905161	0.05062102671905161	0.05062102671905161	0.05062102671905161	0.06900495036166898	0.06900495036166898	0.06900495036166898	0.12778206109003842	0.07160253512516071	0.07160253512516071	0.09321070912997065	0.11414247825536214	0.11414247825536214	0.09315622452804016	0.09315622452804016	0.09315622452804016	0.09315622452804016	0.09315622452804016	0.09315622452804016	0.07960632894182326	0.07960632894182326	0.07960632894182326	0.14299801363463566	0.07839434378462468	0.07839434378462468	0.11904340198543137	0.025396365194159314	0.025396365194159314	0.010867416181044077	0.010867416181044077	0.010867416181044077	0.010867416181044077	0.010867416181044077	0.010867416181044077	0.03144096066753644	0.03144096066753644	0.03144096066753644	0.023021611903959578	0.04852966259654683	0.04852966259654683	0.025569550189638558	0.032852846002349424	0.032852846002349424	0.04084609333015115	0.04084609333015115	0.04084609333015115	0.04084609333015115	0.04084609333015115	0.04084609333015115	0.023445017717493247	0.023445017717493247	0.023445017717493247	0.013433972044811742	0.04036216048865341	0.04036216048865341	0.031336139890640574
100	0.37196278162079227	0.37196278162079227	0.06124501153671223	0.06124501153671223	0.06124501153671223	0.06124501153671223	0.06124501153671223	0.06124501153671223	0.04379045294444762	0.04379045294444762	0.04379045294444762	0.12145801173396861	0.03647867691527698	0.03647867691527698	0.24072604612699733	0.05488694283705107	0.05488694283705107	0.01915899648803071	0.01915899648803071	0.01915899648803071	0.01915899648803071	0.01915899648803071	0.01915899648803071	0.024779234274222232	0.024779234274222232	0.024779234274222232	0.14299801363463566	0.04582089438740628	0.04582089438740628	0.08416267669725909	0.007031466057834055	0.007031466057834055	0.010867416181044077	0.010867416181044077	0.010867416181044077	0.010867416181044077	0.010867416181044077	0.010867416181044077	0.035174757870919594	0.035174757870919594	0.035174757870919594	0.04263869321263954	0.02777288243491109	0.02777288243491109	0.06307865387524934	0.017340767780680832	0.017340767780680832	0.016377286620830774	0.016377286620830774	0.016377286620830774	0.016377286620830774	0.016377286620830774	0.016377286620830774	0.033822060032561004	0.033822060032561004	0.033822060032561004	0.009874252987113304	0.017677079621026954	0.017677079621026954	0.02499131853663739
200	0.4994592706910507	0.4994592706910507	0.06124501153671223	0.06124501153671223	0.06124501153671223	0.06124501153671223	0.06124501153671223	0.06124501153671223	0.013950423612071744	0.013950423612071744	0.013950423612071744	0.08340159863761126	0.05393011674268941	0.05393011674268941	0.1471115713436363	0.03144123080127102	0.03144123080127102	0.00356817073500154	0.00356817073500154	0.00356817073500154	0.00356817073500154	0.00356817073500154	0.00356817073500154	0.01781250040491818	0.01781250040491818	0.01781250040491818	0.05463296224836644	0.02827240103893234	0.02827240103893234	0.04988094397827999	0.0026198412775419937	0.0026198412775419937	0.018633399568836823	0.018633399568836823	0.018633399568836823	0.018633399568836823	0.018633399568836823	0.018633399568836823	0.027889466588684724	0.027889466588684724	0.027889466588684724	0.04263869321263954	0.01286295571319257	0.01286295571319257	0.03380831949419284	0.013513560984590485	0.013513560984590485	0.008039836246178725	0.008039836246178725	0.008039836246178725	0.008039836246178725	0.008039836246178725	0.008039836246178725	0.02118214999482303	0.02118214999482303	0.02118214999482303	0.006814237987675924	0.007530495580869418	0.007530495580869418	0.017139249115106506
300	0.7205889460227634	0.7205889460227634	0.03672428299415389	0.03672428299415389	0.03672428299415389	0.03672428299415389	0.03672428299415389	0.03672428299415389	0.01635636991963766	0.01635636991963766	0.01635636991963766	0.11673214437754265	0.0226228570124717	0.0226228570124717	0.07894750198981476	0.05613243426965656	0.05613243426965656	0.00464769257624419	0.00464769257624419	0.00464769257624419	0.00464769257624419	0.00464769257624419	0.00464769257624419	0.009197810839106741	0.009197810839106741	0.009197810839106741	0.024094479505471136	0.01092477344618498	0.01092477344618498	0.05419114845048729	0.0037029195895601397	0.0037029195895601397	0.016904643129601292	0.016904643129601292	0.016904643129601292	0.016904643129601292	0.016904643129601292	0.016904643129601292	0.018361664782845215	0.018361664782845215	0.018361664782845215	0.017613664552110986	0.010549948738442713	0.010549948738442713	0.06709514211576269	0.010733455584669748	0.010733455584669748	0.01162121305704151	0.01162121305704151	0.01162121305704151	0.01162121305704151	0.01162121305704151	0.01162121305704151	0.02118214999482303	0.02118214999482303	0.02118214999482303	0.00387662491166611	0.003025032074953491	0.003025032074953491	0.005606956611261757
400	0.42628947962600167	0.42628947962600167	0.043584098832674514	0.043584098832674514	0.043584098832674514	0.043584098832674514	0.043584098832674514	0.043584098832674514	0.0032899766088102795	0.0032899766088102795	0.0032899766088102795	0.05833423989051868	0.022146416556538828	0.022146416556538828	0.04706193134648452	0.03190345890748282	0.03190345890748282	0.006227131824168501	0.006227131824168501	0.006227131824168501	0.006227131824168501	0.006227131824168501	0.006227131824168501	0.010402053571563307	0.010402053571563307	0.010402053571563307	0.011616424684193072	0.012220877726295775	0.012220877726295775	0.10755899838079283	0.0019354334275287707	0.0019354334275287707	0.01466253429902966	0.01466253429902966	0.01466253429902966	0.01466253429902966	0.01466253429902966	0.01466253429902966	0.0171506262276292	0.0171506262276292	0.0171506262276292	0.01481433399070165	0.009300800159197492	0.009300800159197492	0.05149867957683511	0.017878424521364275	0.017878424521364275	0.01162121305704151	0.01162121305704151	0.01162121305704151	0.01162121305704151	0.01162121305704151	0.01162121305704151	0.02118214999482303	0.02118214999482303	0.02118214999482303	0.006431006397073861	0.002895458574922119	0.002895458574922119	0.013810064498738672
500	0.7317208453318947	0.7317208453318947	0.045912931110653164	0.045912931110653164	0.045912931110653164	0.045912931110653164	0.045912931110653164	0.045912931110653164	0.0035634239003349954	0.0035634239003349954	0.0035634239003349954	0.11805713302844772	0.019562248617739024	0.019562248617739024	0.02560964254717696	0.06710538211695716	0.06710538211695716	0.00610557166106553	0.00610557166106553	0.00610557166106553	0.00610557166106553	0.00610557166106553	0.00610557166106553	0.016902802017975067	0.016902802017975067	0.016902802017975067	0.008886092100354959	0.010552067058611168	0.010552067058611168	0.04777131049037417	0.003107773882647472	0.003107773882647472	0.01466253429902966	0.01466253429902966	0.01466253429902966	0.01466253429902966	0.01466253429902966	0.01466253429902966	0.01640427515873386	0.01640427515873386	0.01640427515873386	0.009352816455305361	0.012339723545143741	0.012339723545143741	0.0723879156591519	0.01958786932162936	0.01958786932162936	0.01302059400897296	0.01302059400897296	0.01302059400897296	0.01302059400897296	0.01302059400897296	0.01302059400897296	0.022977660722893443	0.022977660722893443	0.022977660722893443	0.00969576686215882	0.00579941447338022	0.00579941447338022	0.010694572754170746
600	1.1131869776171093	1.1131869776171093	0.03774019715526875	0.03774019715526875	0.03774019715526875	0.03774019715526875	0.03774019715526875	0.03774019715526875	0.0035634239003349954	0.0035634239003349954	0.0035634239003349954	0.11428705086996055	0.021202607398845285	0.021202607398845285	0.03205951989718837	0.09876308167438848	0.09876308167438848	0.004859198557933411	0.004859198557933411	0.004859198557933411	0.004859198557933411	0.004859198557933411	0.004859198557933411	0.011126914912388663	0.011126914912388663	0.011126914912388663	0.011513190032621629	0.005431661834881175	0.005431661834881175	0.05322439205106782	0.002073635185346287	0.002073635185346287	0.02212242210369504	0.02212242210369504	0.02212242210369504	0.02212242210369504	0.02212242210369504	0.02212242210369504	0.016138467649635696	0.016138467649635696	0.016138467649635696	0.009866059977696101	0.005889124531277466	0.005889124531277466	0.0723879156591519	0.1863875628370433	0.1863875628370433	0.013200105095248528	0.013200105095248528	0.013200105095248528	0.013200105095248528	0.013200105095248528	0.013200105095248528	0.02789157090936422	0.02789157090936422	0.02789157090936422	0.006525446655369888	0.0030788722661686486	0.0030788722661686486	0.0028053942335085845
700	1.544239828393151	1.544239828393151	0.03774019715526875	0.03774019715526875	0.03774019715526875	0.03774019715526875	0.03774019715526875	0.03774019715526875	0.006838823537921834	0.006838823537921834	0.006838823537921834	0.11428705086996055	0.04155373394038292	0.04155373394038292	0.0834141203520498	0.0160553880133379	0.0160553880133379	0.00872642919089771	0.00872642919089771	0.00872642919089771	0.00872642919089771	0.00872642919089771	0.00872642919089771	0.018155242635533277	0.018155242635533277	0.018155242635533277	0.005385183594332389	0.0047623271728696554	0.0047623271728696554	0.16370407034779533	0.0003043731623629166	0.0003043731623629166	0.018199220795601233	0.018199220795601233	0.018199220795601233	0.018199220795601233	0.018199220795601233	0.018199220795601233	0.018454241358717736	0.018454241358717736	0.018454241358717736	0.014094064768199426	0.0106676699408157	0.0106676699408157	0.12520240602470886	0.3924632151047335	0.3924632151047335	0.013200105095248528	0.013200105095248528	0.013200105095248528	0.013200105095248528	0.013200105095248528	0.013200105095248528	0.02789157090936422	0.02789157090936422	0.02789157090936422	0.004683004193511897	0.005456720393942072	0.005456720393942072	0.007053786197543719
800	1.1013120341192346	1.1013120341192346	0.03774019715526875	0.03774019715526875	0.03774019715526875	0.03774019715526875	0.03774019715526875	0.03774019715526875	0.009904869730292976	0.009904869730292976	0.009904869730292976	0.09056218560204043	0.01165367895492645	0.01165367895492645	0.07970988437844355	0.09541472381564718	0.09541472381564718	0.007870149397786864	0.007870149397786864	0.007870149397786864	0.007870149397786864	0.007870149397786864	0.007870149397786864	0.02158481564172826	0.02158481564172826	0.02158481564172826	0.003608891110433356	0.009504733981431701	0.009504733981431701	0.08802712190348325	0.00046353977992914466	0.00046353977992914466	0.01206998870835735	0.01206998870835735	0.01206998870835735	0.01206998870835735	0.01206998870835735	0.01206998870835735	0.015815964262512118	0.015815964262512118	0.015815964262512118	0.014094064768199426	0.007245672743862138	0.007245672743862138	0.035008418845455476	1.1152550133841928	1.1152550133841928	0.007733604874152647	0.007733604874152647	0.007733604874152647	0.007733604874152647	0.007733604874152647	0.007733604874152647	0.02261981903698782	0.02261981903698782	0.02261981903698782	0.007705264778371211	0.0031832691614797023	0.0031832691614797023	0.006404527033355924
900	1.2451568165982074	1.2451568165982074	0.05613696558420902	0.05613696558420902	0.05613696558420902	0.05613696558420902	0.05613696558420902	0.05613696558420902	0.0018006218881996148	0.0018006218881996148	0.0018006218881996148	0.09056218560204043	0.03064239015815787	0.03064239015815787	0.1276686436944962	0.12250326160958479	0.12250326160958479	0.003002814578788073	0.003002814578788073	0.003002814578788073	0.003002814578788073	0.003002814578788073	0.003002814578788073	0.015196487578153346	0.015196487578153346	0.015196487578153346	0.0030889865838061043	0.009504733981431701	0.009504733981431701	0.09950856604415609	0.0005758601715448711	0.0005758601715448711	0.022853672027242755	0.022853672027242755	0.022853672027242755	0.022853672027242755	0.022853672027242755	0.022853672027242755	0.017659355850812124	0.017659355850812124	0.017659355850812124	0.021580138572834407	0.014488324299122037	0.014488324299122037	0.04688890043986314	2.7313563928617284	2.7313563928617284	0.011516874262524904	0.011516874262524904	0.011516874262524904	0.011516874262524904	0.011516874262524904	0.011516874262524904	0.026841201668509014	0.026841201668509014	0.026841201668509014	0.010523594915922514	0.004843331378931228	0.004843331378931228	0.005468457356662398
